"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDFG","WSFG"
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-02-18","0.00","0.0","0.4",,"17","3",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-02-19","0.24","2.4","0.4",,"32","11",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-02-20","0.20","2.0","2.8",,"30","11",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-02-21","0.08","0.8","1.6",,"21","8",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-02-23","0.31","3.1","0.4",,"34","26",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-02-24","0.05","0.5","1.6",,"34","32",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-02-25","0.01","0.1","1.2",,"35","30",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-02-26","0.00","0.0","1.2",,"38","30",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-03-01","0.09","0.9","3.5",,"34","30",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-03-02","0.10","1.2","3.5",,"33","24",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-03-03","0.05","0.6","4.7",,"29","23",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-03-04","0.08","0.7","4.3",,"25","19",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-03-05","0.04","0.2","4.7",,"35","24",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-03-06","0.00","0.0","4.3",,"37","32",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-03-07","0.00","0.0","3.5",,"32","30",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-03-08","0.00","0.0","2.8",,"39","24",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-03-09","0.00","0.0","0.8",,"41","20",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-03-10","0.00","0.0","0.8",,"48","27",,
